ticker,name,market,locale,active,currency_symbol,currency_name,base_currency_symbol,base_currency_name,last_updated_utc
X:FUNUSD,FunFair - United States Dollar,crypto,global,True,USD,United States Dollar,FUN,FunFair,2017-01-01T00:00:00Z
X:FXUSD,Function X - United States Dollar,crypto,global,True,USD,United States Dollar,FX,Function X,2017-01-01T00:00:00Z
X:GALAUSD,Gala Games - United States Dollar,crypto,global,True,USD,United States Dollar,GALA,Gala Games,2017-01-01T00:00:00Z
X:GHSTUSD,Aavegotchi - United States Dollar,crypto,global,True,USD,United States Dollar,GHST,Aavegotchi,2017-01-01T00:00:00Z
X:GLMUSD,Golem - United States Dollar,crypto,global,True,USD,United States Dollar,GLM,Golem,2017-01-01T00:00:00Z
X:GNOUSD,Gnosis - United States Dollar,crypto,global,True,USD,United States Dollar,GNO,Gnosis,2017-01-01T00:00:00Z
X:GNTUSD,Golem - United States Dollar,crypto,global,True,USD,United States Dollar,GNT,Golem,2017-01-01T00:00:00Z
X:GRTUSD,The Graph - United States Dollar,crypto,global,True,USD,United States Dollar,GRT,The Graph,2017-01-01T00:00:00Z
X:GTCUSD,Gitcoin - United States Dollar,crypto,global,True,USD,United States Dollar,GTC,Gitcoin,2017-01-01T00:00:00Z
X:GUSDUSD,Gemini Dollar - United States Dollar,crypto,global,True,USD,United States Dollar,GUSD,Gemini Dollar,2017-01-01T00:00:00Z
X:GYENUSD,GYEN - United States Dollar,crypto,global,True,USD,United States Dollar,GYEN,GYEN,2017-01-01T00:00:00Z
X:HBARUSD,Hedera - United States Dollar,crypto,global,True,USD,United States Dollar,HBAR,Hedera,2017-01-01T00:00:00Z
X:HIGHUSD,Highstreet - United States Dollar,crypto,global,True,USD,United States Dollar,HIGH,Highstreet,2017-01-01T00:00:00Z
X:HMTUSD,Human - United States Dollar,crypto,global,True,USD,United States Dollar,HMT,Human,2017-01-01T00:00:00Z
X:HNTUSD,Helium - United States Dollar,crypto,global,True,USD,United States Dollar,HNT,Helium,2017-01-01T00:00:00Z
X:ICEUSD,Popsicle Finance - United States Dollar,crypto,global,True,USD,United States Dollar,ICE,Popsicle Finance,2017-01-01T00:00:00Z
X:ICPUSD,Internet Computer - United States Dollar,crypto,global,True,USD,United States Dollar,ICP,Internet Computer,2017-01-01T00:00:00Z
