"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
113,"CPRT","Copart, Inc.","Industrials","Specialty Business Services","USA",48201.61,35.12,50.09,1.83%,4756270
114,"CPT","Camden Property Trust","Real Estate","REIT - Residential","USA",12667.77,32.66,118.79,0.75%,634667
115,"CRL","Charles River Laboratories International Inc.","Healthcare","Diagnostics & Research","USA",10401.41,23.87,201.93,0.99%,2322406
116,"CRM","Salesforce Inc","Technology","Software - Application","USA",241397.28,44.80,249.12,3.78%,4472303
117,"CRWD","Crowdstrike Holdings Inc","Technology","Software - Infrastructure","USA",58532.95,452.02,240.52,4.27%,6644221
118,"CSCO","Cisco Systems, Inc.","Technology","Communication Equipment","USA",184640.37,15.44,45.83,1.57%,18361973
119,"CSGP","Costar Group, Inc.","Real Estate","Real Estate Services","USA",30306.19,141.50,73.95,0.01%,2146170
120,"CSX","CSX Corp.","Industrials","Railroads","USA",66401.85,18.79,34.25,1.87%,8515938
121,"CTAS","Cintas Corporation","Industrials","Specialty Business Services","USA",75620.83,49.53,750.43,1.38%,354326
122,"CTLT","Catalent Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",10808.13,,59.72,0.34%,2424331
123,"CTRA","Coterra Energy Inc","Energy","Oil & Gas E&P","USA",17735.09,13.84,23.99,2.39%,5956504
124,"CTSH","Cognizant Technology Solutions Corp.","Technology","Information Technology Services","USA",36545.01,16.81,73.73,0.77%,3796626
125,"CTVA","Corteva Inc","Basic Materials","Agricultural Inputs","USA",35685.49,39.90,51.55,1.52%,2645664
126,"CVS","CVS Health Corp","Healthcare","Healthcare Plans","USA",72623.15,10.29,57.85,2.44%,11683004
127,"CVX","Chevron Corp.","Energy","Oil & Gas Integrated","USA",266290.75,14.34,144.49,1.46%,7527896
128,"CZR","Caesars Entertainment Inc","Consumer Cyclical","Resorts & Casinos","USA",7805.55,,36.08,3.14%,3879066
129,"D","Dominion Energy Inc","Utilities","Utilities - Regulated Electric","USA",45462.16,29.20,54.19,-1.63%,3428479
130,"DAL","Delta Air Lines, Inc.","Industrials","Airlines","USA",25565.09,5.70,39.61,6.14%,9292503
131,"DAY","Dayforce Inc","Technology","Software - Application","USA",8502.62,182.31,53.78,3.17%,1179126
132,"DD","DuPont de Nemours Inc","Basic Materials","Specialty Chemicals","USA",32782.10,51.58,78.52,1.68%,1760841
